species_name	bin_uri
Partula otaheitana	BOLD:ACE7680
Partula hyalina	BOLD:AAB5272
Satsuma eucosmia	BOLD:AAA2677
Satsuma shigetai	BOLD:AAD6654
Satsuma adelinae	BOLD:AAC4921
Satsuma eucosmia	BOLD:AAA2685
Satsuma eucosmia	BOLD:AAA2686
Satsuma eucosmia	BOLD:AAA2679
Pyrgulopsis gracilis	BOLD:AAY0085
Echinolittorina trochoides B	BOLD:AAB7652
Echinolittorina trochoides D	BOLD:AAA7809
Echinolittorina vidua	BOLD:AAA4227
Echinolittorina vidua	BOLD:ABY6936
Echinolittorina vidua	BOLD:ABY6936
Echinolittorina vidua	BOLD:ABY6936
Echinolittorina vidua	BOLD:AAA4229
Echinolittorina vidua	BOLD:AAA4231
Echinolittorina reticulata	BOLD:AAA9391
Echinolittorina trochoides A	BOLD:ACE8854
Sassia remensa	BOLD:AAA2649
Strombus granulatus	BOLD:AAJ4664
Assiminea pecos	BOLD:AAC1722
Conus californicus	BOLD:AAA7643
Sthenoteuthis oualaniensis	BOLD:AAA8936
Katharina tunicata	BOLD:AAA6715
Callistochiton crassicostatus	BOLD:AAB9864
Leptochiton rugatus	BOLD:AAA8070
Mopalia imporcata	BOLD:AAD5019
Tonicella lineata	BOLD:AAB7482
Mopalia muscosa	BOLD:AAA7107
Mopalia hindsii	BOLD:AAB2555
Mopalia hindsii	BOLD:AAB2555
Katharina tunicata	BOLD:AAA6715
Nuttallina fluxa	BOLD:AAA3779
Cyanoplax berryana	BOLD:AAC0009
Lepidozona pectinulata	BOLD:AAA8332
Ischnochiton tridentatus	BOLD:AAB7769
Chaetopleura lanuginosa	BOLD:AAA7939
Chaetopleura lanuginosa	BOLD:AAA7939
Dendrochiton flectens	BOLD:AAF7493
Tonicella lineata	BOLD:AAB7482
Mopalia muscosa	BOLD:AAA7107
Nuttallina fluxa	BOLD:AAA3779
Nuttallina fluxa	BOLD:AAA3779
Cyanoplax keepiana	BOLD:AAA7000
Cyanoplax keepiana	BOLD:AAA7000
Cyanoplax hartwegii	BOLD:AAA5952
Cyanoplax hartwegii	BOLD:AAA5952
Cyanoplax hartwegii	BOLD:AAA5952
Cyanoplax berryana	BOLD:AAC0009
Stenoplax mariposa	BOLD:ABZ0280
Stenoplax mariposa	BOLD:ABZ0280
Lepidozona pectinulata	BOLD:AAA8332
Lepidozona cooperi	BOLD:AAB5426
Cyprogenia aberti	BOLD:ACF5404
Cyprogenia aberti	BOLD:ACF5404
Sinanodonta woodiana	BOLD:AAD9063
Arion sp. hortensis agg. B	BOLD:AAC0341
Succinea caduca	BOLD:AAA1568
Succinea caduca	BOLD:AAA1568
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita plicata	BOLD:AAA1249
Nerita albicilla	BOLD:AAA1277
Nerita albicilla	BOLD:AAA1276
Nerita albicilla	BOLD:AAA1276
Nerita albicilla	BOLD:AAA1276
Nerita albicilla	BOLD:AAA1276
Nerita albicilla	BOLD:AAA1276
Nerita albicilla	BOLD:AAA1276
Nerita albicilla	BOLD:AAA1276
Nucella lapillus	BOLD:AAA2142
Nucella lapillus	BOLD:AAA2142
Baicalia carinata	BOLD:ABZ6531
Baicalia carinata	BOLD:AAA2499
Baicalia carinata	BOLD:AAA2499
Sepia officinalis	BOLD:AAA1559
Sepia officinalis	BOLD:AAA1559
Sepia officinalis	BOLD:AAA1559
Sepia officinalis	BOLD:AAA1559
Sepia officinalis	BOLD:AAA1559
Sepia officinalis	BOLD:AAA1559
Sepia officinalis	BOLD:AAA1559
Sepia officinalis	BOLD:AAA1559
Sepia officinalis	BOLD:AAA1559
Acesta bullisi	BOLD:AAF2276
Mercenaria mercenaria	BOLD:AAA3989
Mercenaria mercenaria	BOLD:AAA3989
Mercenaria mercenaria	BOLD:AAA3989
Nucula nucleus	BOLD:AAE5618
Nucula nucleus	BOLD:AAE5618
Cellana sandwicensis	BOLD:AAA3391
Cellana sandwicensis	BOLD:AAA3391
Cellana exarata	BOLD:AAA2498
Cellana exarata	BOLD:AAA2498
Cellana exarata	BOLD:AAA2498
Cellana talcosa	BOLD:AAA3399
Cellana talcosa	BOLD:AAA3399
Oreohelix cooperi	BOLD:AAA5972
Oreohelix cooperi	BOLD:AAA5972
Notoacmea scapha	BOLD:AAC5067
Notoacmea alta	BOLD:AAX5586
