bin_uri	species_per_bin
BOLD:AAA0594	1
BOLD:AAA0595	2
BOLD:AAA0596	1
BOLD:AAA0597	1
BOLD:AAA0598	1
BOLD:AAA0599	1
BOLD:AAA0600	1
BOLD:AAA0601	1
BOLD:AAA0602	1
BOLD:AAA0604	1
BOLD:AAA0606	1
BOLD:AAA0607	1
BOLD:AAA0608	1
BOLD:AAA0610	1
BOLD:AAA0611	1
BOLD:AAA0612	1
BOLD:AAA0613	1
BOLD:AAA0614	1
BOLD:AAA0615	1
BOLD:AAA0616	1
BOLD:AAA0617	3
BOLD:AAA0618	1
BOLD:AAA0619	1
BOLD:AAA0620	2
BOLD:AAA0621	3
BOLD:AAA0622	1
BOLD:AAA0623	1
BOLD:AAA0624	4
BOLD:AAA0625	1
BOLD:AAA0626	1
BOLD:AAA0627	1
BOLD:AAA0628	1
BOLD:AAA0629	1
BOLD:AAA0630	2
BOLD:AAA0631	3
BOLD:AAA0632	1
BOLD:AAA0633	1
BOLD:AAA0634	1
BOLD:AAA0635	2
BOLD:AAA0636	2
BOLD:AAA0637	1
BOLD:AAA0638	1
BOLD:AAA0639	1
BOLD:AAA0640	1
BOLD:AAA0641	1
BOLD:AAA0642	1
BOLD:AAA0643	1
BOLD:AAA0644	2
BOLD:AAA0645	1
BOLD:AAA0646	1
BOLD:AAA0647	3
BOLD:AAA0648	1
BOLD:AAA0649	1
BOLD:AAA0650	1
BOLD:AAA0651	1
BOLD:AAA0652	1
BOLD:AAA0653	1
BOLD:AAA0654	2
BOLD:AAA0655	1
BOLD:AAA0656	1
BOLD:AAA0657	2
BOLD:AAA0658	1
BOLD:AAA0659	1
BOLD:AAA0660	1
BOLD:AAA0661	1
BOLD:AAA0662	2
BOLD:AAA0663	3
BOLD:AAA0664	1
BOLD:AAA0665	2
BOLD:AAA0666	1
BOLD:AAA0667	1
BOLD:AAA0668	1
BOLD:AAA0669	1
BOLD:AAA0670	1
BOLD:AAA0671	1
BOLD:AAA0672	1
BOLD:AAA0673	2
BOLD:AAA0674	1
BOLD:AAA0675	1
BOLD:AAA0676	3
BOLD:AAA0677	1
BOLD:AAA0678	1
BOLD:AAA0679	2
BOLD:AAA0680	1
BOLD:AAA0681	1
BOLD:AAA0682	1
BOLD:AAA0683	2
BOLD:AAA0684	2
BOLD:AAA0685	1
BOLD:AAA0686	1
BOLD:AAA0687	1
BOLD:AAA0688	1
BOLD:AAA0689	2
BOLD:AAA0690	1
BOLD:AAA0691	1
BOLD:AAA0692	1
BOLD:AAA0693	1
BOLD:AAA0694	3
BOLD:AAA0695	1
BOLD:AAA0696	1
BOLD:AAA0697	1
BOLD:AAA0698	1
BOLD:AAA0699	1
BOLD:AAA0700	2
BOLD:AAA0701	1
BOLD:AAA0702	1
BOLD:AAA0703	2
BOLD:AAA0704	1
BOLD:AAA0705	1
BOLD:AAA0706	2
BOLD:AAA0707	2
BOLD:AAA0708	2
BOLD:AAA0709	1
BOLD:AAA0710	2
BOLD:AAA0711	1
BOLD:AAA0712	1
BOLD:AAA0713	1
BOLD:AAA0714	2
BOLD:AAA0715	1
BOLD:AAA0716	1
BOLD:AAA0717	2
BOLD:AAA0718	1
BOLD:AAA0719	1
BOLD:AAA0720	2
BOLD:AAA0721	1
BOLD:AAA0722	1
BOLD:AAA0723	1
BOLD:AAA0724	1
BOLD:AAA0725	1
BOLD:AAA0726	1
BOLD:AAA0727	1
BOLD:AAA0728	1
BOLD:AAA0729	1
BOLD:AAA0730	1
BOLD:AAA0731	2
BOLD:AAA0732	2
BOLD:AAA0733	1
BOLD:AAA0734	1
BOLD:AAA0735	2
BOLD:AAA0736	2
BOLD:AAA0737	1
BOLD:AAA0738	1
BOLD:AAA0739	1
BOLD:AAA0740	1
BOLD:AAA0741	1
BOLD:AAA0742	1
BOLD:AAA0743	2
BOLD:AAA0744	3
BOLD:AAA0745	1
BOLD:AAA0746	1
BOLD:AAA0747	1
BOLD:AAA0748	1
BOLD:AAA0749	1
BOLD:AAA0750	1
BOLD:AAA0751	1
BOLD:AAA0752	1
BOLD:AAA0753	1
BOLD:AAA0754	3
BOLD:AAA0755	1
BOLD:AAA0756	1
BOLD:AAA0757	1
BOLD:AAA0758	1
BOLD:AAA0759	1
BOLD:AAA0760	2
BOLD:AAA0761	2
BOLD:AAA0762	1
BOLD:AAA0763	1
BOLD:AAA0764	1
BOLD:AAA0765	3
BOLD:AAA0766	1
BOLD:AAA0767	1
BOLD:AAA0768	1
BOLD:AAA0769	3
BOLD:AAA0770	2
BOLD:AAA0771	1
BOLD:AAA0772	1
BOLD:AAA0773	5
BOLD:AAA0774	1
BOLD:AAA0775	5
BOLD:AAA0776	2
BOLD:AAA0777	1
BOLD:AAA0778	2
BOLD:AAA0779	2
BOLD:AAA0780	3
BOLD:AAA0781	1
BOLD:AAA0782	1
BOLD:AAA0783	6
BOLD:AAA0784	1
BOLD:AAA0785	1
BOLD:AAA0786	1
BOLD:AAA0787	1
BOLD:AAA0788	1
BOLD:AAA0789	1
BOLD:AAA0790	4
BOLD:AAA0791	1
BOLD:AAA0793	1
BOLD:AAA0794	1
BOLD:AAA0795	2
BOLD:AAA0796	4
BOLD:AAA0797	1
BOLD:AAA0798	1
BOLD:AAA0799	1
BOLD:AAA0800	1
BOLD:AAA0801	1
BOLD:AAA0802	1
BOLD:AAA0803	2
BOLD:AAA0804	1
BOLD:AAA0805	1
BOLD:AAA0806	2
BOLD:AAA0807	2
BOLD:AAA0808	2
BOLD:AAA0809	1
BOLD:AAA0810	3
BOLD:AAA0811	1
BOLD:AAA0812	1
BOLD:AAA0813	1
BOLD:AAA0814	3
BOLD:AAA0815	2
BOLD:AAA0816	1
BOLD:AAA0817	1
BOLD:AAA0818	1
BOLD:AAA0819	1
BOLD:AAA0820	1
BOLD:AAA0821	1
BOLD:AAA0822	1
BOLD:AAA0823	1
BOLD:AAA0824	1
BOLD:AAA0825	1
BOLD:AAA0826	1
BOLD:AAA0827	2
BOLD:AAA0828	4
BOLD:AAA0829	4
BOLD:AAA0830	2
BOLD:AAA0831	1
BOLD:AAA0832	1
BOLD:AAA0833	1
BOLD:AAA0834	1
BOLD:AAA0835	2
BOLD:AAA0836	1
BOLD:AAA0837	1
BOLD:AAA0838	2
BOLD:AAA0839	1
BOLD:AAA0840	2
BOLD:AAA0841	1
BOLD:AAA0842	1
BOLD:AAA0843	1
BOLD:AAA0844	1
BOLD:AAA0845	2
BOLD:AAA0846	1
BOLD:AAA0847	1
BOLD:AAA0848	2
BOLD:AAA0849	2
BOLD:AAA0850	3
BOLD:AAA0851	1
BOLD:AAA0852	1
BOLD:AAA0853	1
BOLD:AAA0854	2
BOLD:AAA0855	1
BOLD:AAA0856	1
BOLD:AAA0857	1
BOLD:AAA0858	2
BOLD:AAA0859	1
BOLD:AAA0860	1
BOLD:AAA0861	3
BOLD:AAA0862	1
BOLD:AAA0863	1
BOLD:AAA0864	1
BOLD:AAA0865	1
BOLD:AAA0866	2
BOLD:AAA0867	1
BOLD:AAA0868	1
BOLD:AAA0869	1
BOLD:AAA0870	1
BOLD:AAA0871	2
BOLD:AAA0872	1
BOLD:AAA0873	2
BOLD:AAA0874	2
BOLD:AAA0875	1
BOLD:AAA0876	1
BOLD:AAA0877	1
BOLD:AAA0878	1
BOLD:AAA0879	1
BOLD:AAA0880	1
BOLD:AAA0881	1
BOLD:AAA0882	2
BOLD:AAA0883	1
BOLD:AAA0884	1
BOLD:AAA0885	2
BOLD:AAA0886	1
BOLD:AAA0887	1
BOLD:AAA0888	1
BOLD:AAA0889	4
BOLD:AAA0890	1
BOLD:AAA0891	1
BOLD:AAA0892	1
BOLD:AAA0893	2
BOLD:AAA0894	1
BOLD:AAA0895	1
BOLD:AAA0896	1
BOLD:AAA0897	1
BOLD:AAA0898	1
BOLD:AAA0899	1
BOLD:AAA0900	1
BOLD:AAA0901	1
BOLD:AAA0902	1
BOLD:AAA0903	1
BOLD:AAA0904	1
BOLD:AAA0905	1
BOLD:AAA0906	1
BOLD:AAA0907	1
BOLD:AAA0908	1
BOLD:AAA0909	1
BOLD:AAA0910	1
BOLD:AAA0911	1
BOLD:AAA0912	1
BOLD:AAA0913	1
BOLD:AAA0914	1
BOLD:AAA0915	1
BOLD:AAA0916	1
BOLD:AAA0917	1
BOLD:AAA0918	2
BOLD:AAA0919	2
BOLD:AAA0920	1
BOLD:AAA0921	3
BOLD:AAA0922	1
BOLD:AAA0923	1
BOLD:AAA0924	1
BOLD:AAA0925	1
BOLD:AAA0926	2
BOLD:AAA0927	1
BOLD:AAA0928	2
BOLD:AAA0929	1
BOLD:AAA0930	2
BOLD:AAA0931	1
BOLD:AAA0932	4
BOLD:AAA0933	2
BOLD:AAA0934	1
BOLD:AAA0935	1
BOLD:AAA0936	1
BOLD:AAA0937	2
BOLD:AAA0938	1
BOLD:AAA0939	2
BOLD:AAA0940	1
BOLD:AAA0941	1
BOLD:AAA0942	1
BOLD:AAA0943	1
BOLD:AAA0944	1
BOLD:AAA0945	1
BOLD:AAA0946	1
BOLD:AAA0947	1
BOLD:AAA0948	4
BOLD:AAA0949	1
BOLD:AAA0950	1
BOLD:AAA0951	2
BOLD:AAA0952	1
BOLD:AAA0953	1
BOLD:AAA0954	1
BOLD:AAA0955	2
BOLD:AAA0956	1
BOLD:AAA0957	2
BOLD:AAA0958	1
BOLD:AAA0959	2
BOLD:AAA0960	1
BOLD:AAA0961	1
BOLD:AAA0962	1
BOLD:AAA0963	2
BOLD:AAA0964	1
BOLD:AAA0965	1
BOLD:AAA0966	1
BOLD:AAA0967	1
BOLD:AAA0968	3
BOLD:AAA0969	1
BOLD:AAA0970	1
BOLD:AAA0971	1
BOLD:AAA0972	1
BOLD:AAA0973	2
BOLD:AAA0974	3
BOLD:AAA0975	1
BOLD:AAA0976	1
BOLD:AAA0977	1
BOLD:AAA0978	1
BOLD:AAA0979	1
BOLD:AAA0980	1
BOLD:AAA0981	1
BOLD:AAA0982	1
BOLD:AAA0983	1
BOLD:AAA0984	1
BOLD:AAA0985	1
BOLD:AAA0986	2
BOLD:AAA0987	1
BOLD:AAA0988	1
BOLD:AAA0989	1
BOLD:AAA0990	1
BOLD:AAA0991	1
BOLD:AAA0992	1
BOLD:AAA0993	1
BOLD:AAA0994	1
BOLD:AAA0995	1
BOLD:AAA0996	1
BOLD:AAA0997	1
BOLD:AAA0998	1
BOLD:AAA0999	1
BOLD:AAA1000	1
BOLD:AAA1001	3
BOLD:AAA1002	3
BOLD:AAA1003	1
BOLD:AAA1004	1
BOLD:AAA1005	1
BOLD:AAA1006	2
BOLD:AAA1007	1
BOLD:AAA1008	2
BOLD:AAA1009	2
BOLD:AAA1010	1
BOLD:AAA1011	1
BOLD:AAA1012	1
BOLD:AAA1013	1
BOLD:AAA1014	1
BOLD:AAA1015	5
BOLD:AAA1017	1
BOLD:AAA1018	1
BOLD:AAA1019	1
BOLD:AAA1020	1
BOLD:AAA1021	2
BOLD:AAA1022	1
BOLD:AAA1023	1
BOLD:AAA1024	3
BOLD:AAA1025	3
BOLD:AAA1026	1
BOLD:AAA1027	2
BOLD:AAA1028	1
BOLD:AAA1029	1
BOLD:AAA1030	1
BOLD:AAA1031	1
BOLD:AAA1032	1
BOLD:AAA1033	1
BOLD:AAA1034	1
BOLD:AAA1035	2
BOLD:AAA1036	1
BOLD:AAA1037	1
BOLD:AAA1038	1
BOLD:AAA1039	1
BOLD:AAA1040	1
BOLD:AAA1041	1
BOLD:AAA1042	1
BOLD:AAA1043	1
BOLD:AAA1044	2
BOLD:AAA1045	1
BOLD:AAA1046	1
BOLD:AAA1047	1
BOLD:AAA1048	2
BOLD:AAA1049	1
BOLD:AAA1050	1
BOLD:AAA1051	1
BOLD:AAA1052	4
BOLD:AAA1053	2
BOLD:AAA1054	1
BOLD:AAA1055	1
BOLD:AAA1056	1
BOLD:AAA1057	1
BOLD:AAA1058	1
BOLD:AAA1059	1
BOLD:AAA1060	1
BOLD:AAA1061	2
BOLD:AAA1062	1
BOLD:AAA1063	1
BOLD:AAA1064	1
BOLD:AAA1065	1
BOLD:AAA1066	1
BOLD:AAA1067	1
BOLD:AAA1069	2
BOLD:AAA1070	2
BOLD:AAA1071	1
BOLD:AAA1072	1
BOLD:AAA1073	1
BOLD:AAA1074	2
BOLD:AAA1075	1
BOLD:AAA1076	3
BOLD:AAA1077	1
BOLD:AAA1078	1
BOLD:AAA1079	1
BOLD:AAA1080	1
BOLD:AAA1082	1
BOLD:AAA1083	1
BOLD:AAA1084	2
BOLD:AAA1085	1
